2021-06-27 20:06:927 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 20:06:585 INFO  HomePage :28 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (654cadbc39ba00b467cf283216537831)] -> xpath: //button[contains(text(), 'Bank Manager Login')]]
2021-06-27 20:06:986 INFO  BankManagerLoginPage :21 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (654cadbc39ba00b467cf283216537831)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 20:06:44 INFO  AddCustomerPage :30 - Enter first name[[ChromeDriver: chrome on WINDOWS (654cadbc39ba00b467cf283216537831)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 20:06:251 INFO  AddCustomerPage :34 - Enter last name[[ChromeDriver: chrome on WINDOWS (654cadbc39ba00b467cf283216537831)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 20:06:506 INFO  AddCustomerPage :38 - Enter postcode[[ChromeDriver: chrome on WINDOWS (654cadbc39ba00b467cf283216537831)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 20:06:548 INFO  AddCustomerPage :41 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (654cadbc39ba00b467cf283216537831)] -> xpath: //div[@class='form-group']//following-sibling::div[2]//following::button[@type='submit']]
2021-06-27 20:06:918 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 20:06:166 INFO  HomePage :28 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (021d6b106fdb1e9b0e4e9f09b652be8f)] -> xpath: //button[contains(text(), 'Bank Manager Login')]]
2021-06-27 20:06:450 INFO  BankManagerLoginPage :21 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (021d6b106fdb1e9b0e4e9f09b652be8f)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 20:06:469 INFO  AddCustomerPage :30 - Enter first name[[ChromeDriver: chrome on WINDOWS (021d6b106fdb1e9b0e4e9f09b652be8f)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 20:06:656 INFO  AddCustomerPage :34 - Enter last name[[ChromeDriver: chrome on WINDOWS (021d6b106fdb1e9b0e4e9f09b652be8f)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 20:06:878 INFO  AddCustomerPage :38 - Enter postcode[[ChromeDriver: chrome on WINDOWS (021d6b106fdb1e9b0e4e9f09b652be8f)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 20:06:912 INFO  AddCustomerPage :41 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (021d6b106fdb1e9b0e4e9f09b652be8f)] -> xpath: //div[@class='form-group']//following-sibling::div[2]//following::button[@type='submit']]
2021-06-27 22:06:340 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 22:06:166 INFO  HomePage :28 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: //button[contains(text(), 'Bank Manager Login')]]
2021-06-27 22:06:950 INFO  BankManagerLoginPage :21 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 22:06:80 INFO  AddCustomerPage :30 - Enter first name[[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 22:06:381 INFO  AddCustomerPage :34 - Enter last name[[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 22:06:765 INFO  AddCustomerPage :38 - Enter postcode[[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 22:06:813 INFO  AddCustomerPage :41 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: //div[@class='form-group']//following-sibling::div[2]//following::button[@type='submit']]
2021-06-27 22:06:450 INFO  BankManagerLoginPage :25 - clicking open account tab[[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: //button[@ng-click='openAccount()']]
2021-06-27 22:06:758 INFO  OpenAccountPage :36 - Selecting Customer from DropDown[[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: //option[text() = 'Hermoine Granger']]
2021-06-27 22:06:164 INFO  OpenAccountPage :43 - clicking on currency[[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: //select[@id = 'currency']][[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: //option[contains(text(),  'Pound')]]
2021-06-27 22:06:372 INFO  OpenAccountPage :48 - clicking on process button[[ChromeDriver: chrome on WINDOWS (0b4a414f4fe70678c4b223ec8336ddb0)] -> xpath: //button[contains(text(), 'Process')]]
2021-06-27 22:06:340 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 22:06:566 INFO  HomePage :28 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: //button[contains(text(), 'Bank Manager Login')]]
2021-06-27 22:06:847 INFO  BankManagerLoginPage :21 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: //button[@ng-click='addCust()']]
2021-06-27 22:06:522 INFO  AddCustomerPage :30 - Enter first name[[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: //body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2021-06-27 22:06:810 INFO  AddCustomerPage :34 - Enter last name[[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 22:06:213 INFO  AddCustomerPage :38 - Enter postcode[[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: 
//body[1]/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2021-06-27 22:06:267 INFO  AddCustomerPage :41 - clicking add customer button[[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: //div[@class='form-group']//following-sibling::div[2]//following::button[@type='submit']]
2021-06-27 22:06:941 INFO  BankManagerLoginPage :25 - clicking open account tab[[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: //button[@ng-click='openAccount()']]
2021-06-27 22:06:415 INFO  OpenAccountPage :36 - Selecting Customer from DropDown[[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: //option[text() = 'Hermoine Granger']]
2021-06-27 22:06:861 INFO  OpenAccountPage :43 - clicking on currency[[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: //select[@id = 'currency']][[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: //option[contains(text(),  'Pound')]]
2021-06-27 22:06:73 INFO  OpenAccountPage :48 - clicking on process button[[ChromeDriver: chrome on WINDOWS (f54bdd343967dd2859c22696b3d242f7)] -> xpath: //button[contains(text(), 'Process')]]
2021-06-27 22:06:453 INFO  BasePage :34 - Launching Chrome Browser 
2021-06-27 22:06:906 INFO  HomePage :28 - clicking on Bank manager Login tab[[ChromeDriver: chrome on WINDOWS (ad17b31d4a2d6bd898709de1456ed08d)] -> xpath: //button[contains(text(), 'Bank Manager Login')]]
2021-06-27 22:06:660 INFO  BankManagerLoginPage :21 - clicking on add customer tab[[ChromeDriver: chrome on WINDOWS (ad17b31d4a2d6bd898709de1456ed08d)] -> xpath: //button[@ng-click='addCust()']]
